PK,path,depth,état,carte,nom_vulgarisé,text_fr,LTfr,Simple_name_en,text_en,LTen,link_fr,link_en,desc_fr,Lfr115,desc_en,Len115,example_fr,Lxfr145,example_en,Lxen145,Remarques,latin,exemple politique,political_example_en,proverbe,+liens transverses,type lien transverse,shape,image,svg_color,svg_illustration
48,1.1.3.1.4,5,,,Répulsif anti-girafe,Preuve par l'absence,20,,Proof by lack of refutation,27,https://cortecs.org/materiel/sophisme-le-repulsif-anti-girafe/,,Vous utilisez'labsence de fait contredisant votre théorie comme preuve de sa justesse. ,87,Using as proof the lack of fact which contradict a theory.,58,J'ai pris de l’oscillococcinum et je n’ai pas eu la grippe,58,,,,,,,,,,circle,,,
49,1.1.3.1.5,5,,,,Appel à la complexité,21,,Appeal to complexity,20,,http://www.don-lindsay-archive.org/skeptic/arguments.html#complexity,"Vous argumentez que si vous ne pouvez comprendre un sujet, personne ne le pourra, ce qui vous permet des affirmations arbitraires.",130,"Considering that something too complex for the arguer is too complex for everyone, thus opening room for arbitrary assertions.",126,"Si Mac Gyver peut le faire, je peux aussi le faire. ou Contre le chômage on a tout essayé. ",91,,,,,,,,,,circle,,,
50,1.1.3.1.6,5,,,,Argument d'omniscience,22,,Argument from omniscience,25,,http://rationalwiki.org/wiki/Appeal_to_omniscience,"Vous argumentez comme si vous saviez absolument tout d'un sujet, ce qui vous permet d'affirmer des vérité universelles contestables.",132,"Argumenting as if one knew literally everything about the issue, thus asserting blanket truths which in fact should be discussed.",129,Tous les étudiants aiment étudier. ,35,,,,,,,,,,circle,,,
51,1.1.3.1.6.1,6,,,,Sophisme de Sherlock Holmes,27,,Sherlock Holmes fallacy,23,,http://rationalwiki.org/wiki/Holmesian_fallacy,Considérer une explication comme vraie car toutes les autres sont fausses alors qu'elles n'ont pas toutes été considérées.,122,"Claiming some explanation to be true because all alternate 
explanations are impossible, although they have not yet 
been ruled out.
",133,"Quand vous avez éliminé tout ce qui est impossible, alors tout ce qui reste, aussi improbable que ce soit, doit être vrai. ",123,"When you have eliminated all which is impossible, then whatever remains, however improbable, must be the truth",,,,,,,,,circle,,,
52,1.1.3.2,4,,,,Appel à la nécessité,20,,Appeal to desperation,21,,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/28/Appeal-to-Desperation,Vous évaluez votre proposition à l'aune de la nécessité de faire quelque chose. ,80,"Arguing that a conclusion, solution, or proposition is right only because something must be done.",97,On ne peut laisser proliférer les souris dans la cave. Il faut inonder. ,72,,,,,,,"La fin justifie les moyens.""",,,circle,,,
53,1.1.3.2.1,5,,,,Syllogisme du politicien,24,,Politician's syllogism,22,,https://en.wikipedia.org/wiki/Politician%27s_syllogism,"Vous considérez que votre proposition est bonne en vertu du fait que, pour améliorer la situation, il faut une proposition.
",124,Considering a proposal as good only because a proposition is needed in order to improve the situation.,102,,0,,,,,,,,1.1.3.2.1 4.3.3.5.1 5.3.2.4.1,,circle,,,
54,1.1.3.3,4,,,,Pensée magique,14,,Magical thinking,16,,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/123/Magical-Thinking,Vous établissez un lien de cause à effet en fondant non pas sur la logique ou sur des preuves mais sur la superstition. ,120,Making causal connections between two events on the basis of superstition rather than logic or evidence.,104,C'est parce que la paroisse a pris cette décision que la pluie est tombée. ,75,,,,,,,,,,circle,,,
55,1.1.3.3.1,5,,,,Appel au ciel,13,,Appeal to Heaven,16,,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/35/Appeal-to-Heaven,Vous affirmez que vos conclusions relèvent de la volonté divine.,64,Asserting that a conclusion or proposition must be accepted because it is the “will of God” or “the will of the gods”.,118,C'est parce que Dieu le veut que nous le devons. ,49,,,,deus vult,,,,,,circle,,,
56,1.1.3.3.2,5,,,,Superstition,12,,Superstition,12,,http://skepdic.com/superstition.html,Vous fondez vos avis et actions sur une base de superstition. ,62,basing one's opinions and action on superstition.,49,"Si nous ne faisons pas cette cérémonie lors de l'éclipse, alors les démons reviendront. ",88,,,,,,,,,,circle,,,
57,1.1.3.4,4,,,,Pensée Cliché,13,,Cliche thinking,15,,http://www.don-lindsay-archive.org/skeptic/arguments.html#cliche,Vous fondez votre argumentation sur des aphorismes séduisants mais non vérifiés ou mis en contexte. ,100,"Using as evidence a well-known wise saying, as if that is proven,or as if it has no exceptions.",95,La politique est un métier car ce n'est pas au vieux singe qu'on apprend à faire la grimace. ,93,,,,,,,,,,circle,,,
58,1.1.3.4.1,5,,,,L'exception confirme la règle,29,,Exception that proves the rule.,31,,http://www.don-lindsay-archive.org/skeptic/arguments.html#proves_the_rule,Vous disqualifiez un contre-exemple en invoquant le cliché de l'exception qui confirme la règle.,96,Waving away objections as exceptions that prove the rule.,57,"Lors des vacances scolaires, les garçons devront être de retour au dortoir à minuit. ",85,,,,,,,,,,circle,,,
59,1.1.3.4.2,5,,,,La théorie déconnectée de la pratique,37,,"The theory remote from practical experience
",44,https://fr.wikisource.org/wiki/L%E2%80%99Art_d%E2%80%99avoir_toujours_raison/StratagA13%A8me_XXXIII,,"Vous disqualifiez un argument théorique en usant du cliché selon lequel, en pratique, la théorie ne marche jamais. ",115,Discarding a theoretical argument by use of the cliche according to which theories always fail when applied practically. ,121,"Quand je serai grand, j'irai vivre en théorie car en théorie tout se passe bien.",80,,,à bien étudier en particulier le lien français qui ne me semble pas approprié.,,,,"En théorie, on obtient n'importe quoi et tout le monde sait pourquoi. En pratique on obtient toujours la même chose et personne ne sait pourquoi. ",,,circle,,,
60,1.1.3.4.3,5,,,,Reprise de cliché,17,,Snowclone,9,https://fr.wikipedia.org/wiki/Snowclone,https://en.wikipedia.org/wiki/Snowclone,Vous adaptez une phrase bien connue au contexte de votre argumentation. ,72,Adapting a well-known quote to the context of an argumentation.,63,Je suis exubérant mais je me soigne. ,37,,,lien t vers rhétorique->poétique.,,Une autre fin du monde est possible,Another end of the world is possible,,,,circle,,,
61,1.1.3.4.4,5,,,,Credo quia absurdum,19,,Credo quia absurdum,19,,https://en.wikipedia.org/wiki/Credo_quia_absurdum,Vous arguez que c'est justement parce que c'est absurde qu'il faut y croire. ,77,Arguing that the absurdity of something is the main reason to believe it.,73,C'est parce que l'on ne peut pas ressusciter des morts que je crois en Jésus Christ. ,85,,,,,,,,,,circle,,,
62,1.1.3.4.5,5,,,,Lapalissade,11,,Truism,6,https://fr.wikipedia.org/wiki/Lapalissade,,"Vous formulez une évidence, un truisme, une tautologie qui provoque le rire.",76,Asserting an obvious truth,26,"Certains hommes sont grands, d'autres pas. ",43,,,"Je ne pense pas que ce soit cliché, je pense que c'est rhétorique. Le sens direct est tautologique mais un autre sens, caché, passe. À bouger selon moi.",,,,La Palice en aurait dit autant. ,,,circle,,,
63,1.1.3.4.6,5,,,,Bromure,7,,Bromide,7,,https://en.wikipedia.org/wiki/Bromide_(language),Vous formulez une platitude dont l'effet est plutôt sédatif. ,61,Formulating arguments so mundane that one loses focus.,54,,0,,,PAs non plus un cliché,,,,,,,circle,,,
64,1.2,2,"Jesse OK
",1,,Préjugé,7,,Prejudice,9,https://fr.wikipedia.org/wiki/Pr%C3%A9jug%C3%A9,https://en.wikipedia.org/wiki/Prejudice,Votre thèse repose sur des jugements opinions préconçues.,57,Arguing on the basis of unchallenged pre-conceptions.,53,Laisse donc ton père ouvrir ce pot de cornichons: c'est une affaire d'hommes !,78,"Let your father open that jar of pickles, it's a man's job.",59,,,,,,,,circle,oeillères,,
65,1.2.1,3,"Jesse OK
",2,,Argument d'autorité,19,,Argument from Authority,23,https://fr.wikipedia.org/wiki/Argument_d%27autoritA13%A9,https://en.wikipedia.org/wiki/Argument_from_authority,"Vous justifiez votre propos par l'expertise de personnes influentes qui le soutiennent, plutôt que par son contenu.",115,Grounding claims on the supposedly expert opinion of influential people who support them. ,90,"Bien qu'ayant trop chaud, je n'enlève pas mon manteau, car maman a dit qu'il faisait froid.",91,I'm feeling hot but I keep my coat on because Mum said it was cold today.,73,"An argument from authority, also called an appeal to authority, popularized by John Locke as the argumentum ad verecundiam
Jesse: CF version FR: il y a 3 expressions en latin, qui correspondent ici à des sous-categories
Liens transverses (mmiroir) vers par le mépris, par la haine... Lein t vers achievements",,,,,,,circle,roi éléphant ivre,,
66,1.2.1.1,4,,,,Par le pouvoir (Argumentum ad potentiam),40,,Argument from power,19,https://fr.wikipedia.org/wiki/Argument_d%27autoritA13%A9,,Vous accordez de la valeur à un argument car le pouvoir le soutien. ,68,Grounding claims on the fact that powerfull people support them.,64,Le catholicisme est la vrai religion; c'est le roi qui le dit. ,63,,,,,,,,,,circle,,,
67,1.2.1.1.1,5,,,,Argument d'obéissance aveugle,29,,Argument from blind obedience,29,,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/62/Blind-Authority-Fallacy,Vous donnez de la valeur à un propos sur la seule base de son soutien par une autorité ultime.,94,Asserting that a proposition is true solely because a supposedly absolute authority supports it..,97,"La pape, parce qu'il est pape ne peut jamais avoir tort. ",57,,,Ce n'est pas l'autorité qui est aveugle c'est celui ou celle qui obéit,,,,Le mieux est l'ennemi du bien.,,,circle,,,
68,1.2.1.1.1.1,6,,,Parce que c'est comme ça,Argument d'autorité personnelle,31,Because I said so,Argument from personal authority,32,,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/115/Just-Because-Fallacy,Vous refusez de vous expliquer en arguant que vous êtes l'autorité absolue sur le sujet. ,89,Refusing to give reasons or evidence for a claim by stating yourself as the authority on the matter.,100,Parce que c'est comme ça. Faite moi confiance. ,47,,,,,,,,,,circle,,,
69,1.2.1.1.2,5,,,,Appel à l'assurance,19,,Appeal to confidence.,21,,http://rationalwiki.org/wiki/Appeal_to_confidence,Vous prenez votre confiance en la justesse d'une thèse pour preuve de son bien-fondé. ,86,taking somebody's confidence in some assertion as proof of that assertion.,74,"Vous allez vous aimer, c'est sur. ",34,,,"lien  t (miroir) sur attaques personnelles de destructio de confiance

ce n'est pas par le pouvoir. mais par le respect( changer de sousou famille)
",,,,,,,circle,,,
70,1.2.1.1.3,5,,,,Autorité invincible / incontestable,35,,Undisputable authority,22,http://rationalwiki.org/wiki/Invincible_authority,,"Votre argument s'appuie sur la parole d'une personne d'autorité, comme si elle suffisait à tout prouver et à balayer toute contradiction.",137,Citing an authority's opinion on an idea as if that authority's support was the only evidence necessary to uphold said idea,123,Je crois en Dieu car Einstein croyait en Dieu. ,47,,,"Soit c'est dans le autorité du respect, soit c'est synonyme d'autorité aveugle (dont il faut changer le nom, par ailleurs, en obéissance aveugle).",,,,,,,circle,,,
71,1.2.1.1.4,5,,,,Appel à la loyauté,18,,Appeal to loyalty,17,https://en.wikipedia.org/wiki/Appeal_to_loyalty,https://en.wikipedia.org/wiki/Appeal_to_loyalty,"Vous acusez vos détracteurs de déloyauté.
",42,"Charging those who disagree with you with being disloyal, therefore wrong.",74,Ceux qui veulent parler de sexualité en classe sont des pervers qui veulent détruire l'école. ,94,,,,,,,,,,circle,,,
72,1.2.1.2,4,"Jesse OK
",1,,Appel au respect,16,,Argument from respect,21,https://fr.wikipedia.org/wiki/Argument_d%27autoritA13%A9,https://en.wikipedia.org/wiki/Argument_from_authority,Vous accordez de la valeur à une proposition parce qu'elle est soutenue par une personne réputée.,97,"Grounding the validity of a proposition on the basis that a reputable, respected person or entity supports it.",110,Ce gâteau doit être excellent puisqu'il s'agit d'une recette inventée par Albert Einstein.,90,"This must be a good recipe, Albert Einstein invented it.
",57,"il faudrait affiner les liens pour faire la différence d'avec argument d'autorité, sa mère.",ad verecundiam,,,"""Servir les vieillards est un devoir, servir ses égaux est une politesse, servir les jeunes est une humiliation.""",,,circle,,,
73,1.2.1.2.1,5,"Jesse OK
",2,,Argument d'accomplissement,26,,Appeal to accomplishment,24,,https://en.wikipedia.org/wiki/Appeal_to_accomplishment,Vous fondez la validité des propos de quelqu'un sur ses succès dans le domaine concerné.,88,Granting value to someone's claims on the basis of his or her achievements in the field being debated.,102,Ton opinion sur la musique m'intéressera quand tu auras sorti un album !,72,I'll listen to your opinions on music when you've released a record that went platinum.,87,"lien t. RMQ classif: cet argument est négatif mais ses enfants sont positifs. Devrions nous le redéfinir en positif? ie: il a réussi dans les affaires, il sera un bon ministre"" plutôt que d'exiger un ministre qui a réussi... ? ",,,,"Quand le sage désigne la lune, l'idiot regarde le doigt.""",7.3.2.3,,circle,,,
74,1.2.1.2.1.1,6,,,,Appel à la Lune,15,,Appeal to the Moon,18,,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/43/Appeal-to-the-Moon,"Vous comparez toute tâche qui semble impossible au fait qu'on a réussi à envoyer un homme sur le Lune.
",103,Comparing any seemingly impossible task to our successful sending a man on the Moon.,84,"Si on peut envoyer un homme sur la lune, on peut bien guérir tous les types de cancers. ",88,,,,,,,,,,circle,,,
75,1.2.1.2.1.2,6,,,,Appel à la conversion,21,,Statement of conversion,23,,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/166/Statement-of-Conversion,Vous basez votre argument sur votre conversion sans évoquer les raisons de votre conversion. ,93,Using a drastic change in one's opinion as proof that his or her latest belief is truth.,88,Avant j'étais stupide. Mais c'était avant. ,43,,,,,,,,,,circle,,,
76,1.2.1.2.1.3,6,,,,Appel à la célébrité,20,,Appeal to celebrity,19,,http://www.fallacyfiles.org/apcelebs.html,Votre argument s'appuie sur la célébrité de ceux qui le soutienne. ,67,Using the celebrity of supporters of an argument to strengthen it.,66,Chuck Norris a déjà compté jusqu'à l'infini. Deux fois.,55,,,,,,,,,,circle,,,
